"Observation","Cooks_Distance"
311,3.19111797225064e-06
312,2.73499461193891e-05
313,0.000187573031824006
314,1.07308417228567e-06
315,4.33150653720625e-05
316,8.36449505345367e-06
317,2.25537876976626e-05
318,2.29358191457616e-06
319,0.000395777733531675
320,1.31204385256045e-05
321,0.00118690347703415
322,0.000384173354866292
323,0.00010715730131477
324,0.000128715092576229
325,7.55772943094491e-05
326,0.000119944578054754
327,2.29488546370639e-06
328,0.00013123207312908
329,0.00302455601363095
330,3.22071037592973e-06
331,1.62041932959203e-08
332,3.24872288162264e-05
333,5.47569592501011e-06
334,0.00051882154955605
335,1.1690719908675e-08
336,0.00024818115893218
337,0.00592821075194689
338,1.23687203509996e-08
339,6.04302304056819e-05
340,2.21913577682308e-06
341,1.53192916910865e-06
342,0.00558019623101487
343,0.00664536095535477
344,1.50503184486695e-05
345,2.65713431353441e-06
346,1.52578461539326e-07
347,2.34630095511027e-06
348,0.000753528767334136
349,7.29130161164287e-05
350,2.54810544180271e-08
351,0.00484359411882853
352,0.000449624935498314
353,8.52416259072821e-05
354,0.00792008538201339
355,0.000159331803982806
356,9.6506191206652e-05
357,0.000119796890220131
358,0.000925602083661494
359,1.47682711626338e-06
360,2.89525945023993e-06
361,1.13198739544224e-06
362,2.08360580606986e-05
363,4.81293924820712e-05
364,6.12101812132324e-05
365,0.000195656898539575
366,8.37799508762961e-05
367,2.08824564615609e-07
368,0.00505088274864636
369,3.97558525708596e-07
370,2.37972643625025e-05
371,2.35325866919066e-05
372,4.6105395830094e-05
373,3.58534448027041e-05
374,2.60199770390186e-06
375,2.89219981973879e-05
376,8.84288214883248e-07
377,1.86692062893478e-05
378,5.40457359720797e-06
379,1.22522546133339e-05
380,0.0124794710017672
381,0.000378840936107156
382,4.24702595749814e-07
383,5.32730105456438e-05
384,1.43550724176492e-06
385,0.000102354426923756
386,0.00011930663472666
387,0.000209566213248516
388,2.19756740360303e-08
389,0.000939057786095648
390,0.000989375305707455
391,7.56400450469641e-06
392,0.000279300304554421
393,0.000112966729912553
394,5.36847029048547e-07
395,1.65563677866017e-05
396,0.000317762665105613
397,3.93155534721361e-05
398,0.00043640005949686
399,0.000223841943560918
400,2.41283032500288e-06
401,1.68445997269663e-05
402,4.90738646547868e-06
403,1.37211297054619e-05
404,6.4767077302012e-05
405,7.34313671211579e-07
406,0.00325089119988659
407,0.00014450446852288
408,9.31305382742567e-07
409,6.55891195331602e-07
410,0.000127739741858057
411,9.93409461167761e-05
412,0.00290804189797321
413,0.000141103968699619
414,6.78275513440014e-06
415,2.98208997628454e-05
416,2.3914408763569e-06
417,3.04010620271051e-06
418,1.66673807314749e-06
419,4.32703476734949e-06
420,2.07934296897712e-05
421,1.4579040884958e-05
422,9.74171837332053e-05
423,2.67047397759538e-05
424,1.94858750529035e-05
425,1.29573114033204e-06
426,0.00446488035412873
427,1.28629861197038e-07
428,6.21775851157258e-07
429,5.93530728079046e-07
430,1.58764275476529e-06
431,0.000354127915522876
432,3.54298960030599e-09
433,1.86556030501772e-09
434,4.32787107763716e-06
435,2.22744837296202e-12
436,0.000204500799470381
437,0.0010192367496229
438,3.30789065426541e-06
439,0.000103738365737118
440,0.000441484989923905
441,0.0100415191249689
442,0.000500948267398868
443,0.00471787198507528
444,3.04116719018107e-05
445,6.26824029399922e-05
446,7.14117095834438e-05
447,0.000282665571908591
448,2.88548774086787e-07
449,0.000231000731800553
450,0.000789051963057584
451,3.78421826157756e-05
452,7.7528981011904e-07
453,3.94552079206447e-08
454,0.000183524278951039
455,0.00087831323204144
456,7.25571899049984e-06
457,2.30186831247912e-06
458,0.000118741994972216
459,0.00238555816854361
460,4.21786113749284e-05
461,1.17260076506913e-06
462,0.0268054231673331
463,8.51182180420627e-05
464,1.03916449506931e-07
465,0.00229896423574153
466,0.00128516647253488
467,1.49040271292761e-06
468,3.95984739268725e-05
469,0.000370466842892402
470,0.00203917154667543
471,0.000254457725785961
472,2.98685031551443e-05
473,3.62345261716353e-07
474,0.00242177909607954
475,6.73996927327876e-09
476,0.000314771169507496
477,1.74365972544537e-08
478,0.000801883887571207
479,2.0400359999794e-07
480,0.0299647080103827
481,3.8581838238119e-06
482,0.00399449974873979
483,5.38148687608762e-05
484,1.90992381153328e-07
485,0.00365896465972165
486,0.000607231238387053
487,6.17732224643521e-05
488,1.28628446662777e-05
489,0.000146477232860412
490,0.000107945877133346
491,0.00979107802788697
492,0.00827041381933537
493,1.47755468660726e-05
494,7.87729831735394e-07
495,0.00167312575450854
496,1.27728426748392e-05
497,0.00363910006764577
498,3.18247848898223e-07
499,8.35570366132957e-05
500,0.00128438912011481
501,9.78878776307662e-07
502,0.00114389795411667
503,5.93817150426372e-06
504,5.64074089074353e-06
505,4.82934499860922e-05
506,8.58052540939391e-05
507,6.2636038620182e-06
508,7.38335040376339e-07
509,8.31550933313298e-06
510,6.76499339642763e-06
511,6.48281799452198e-05
512,0.000134404779948316
513,0.00164467571395879
514,0.000139594864112768
515,0.000513750041569903
516,2.18954871062149e-06
517,0.00231429565421458
518,0.000237264561849357
519,5.18593408899663e-06
520,8.9582452678124e-05
521,0.000187242570426295
522,2.23454200960934e-05
523,0.00216417518978775
524,5.81820768741362e-06
525,9.82142694380364e-06
526,3.83633408669102e-08
527,3.0294904274094e-06
528,0.00300915914434493
529,2.14952507199081e-05
530,6.69938390572481e-06
531,3.88644168869844e-05
532,0.00214462152106467
533,8.66320700898942e-05
534,0.00348427047310795
535,8.77946984203154e-06
536,0.00261724652879454
537,0.00486149306878444
538,1.20696000476737e-05
539,0.0101866195396349
540,6.21156064114222e-06
541,0.00123588907368291
542,4.82862899349455e-05
543,0.000106209658561908
544,0.000243759966859375
545,4.18033411377759e-06
546,0.000178811681509292
547,8.74639329582118e-06
548,0.000155457410006092
549,1.15702080804492e-06
550,6.25443148321439e-08
551,4.73145894250493e-05
552,0.000214816981558786
553,0.000400443200499693
554,0.000398084483927891
555,3.31495849213089e-05
556,2.32954102282406e-06
557,0.000763276016481166
558,9.90624572853262e-05
559,0.00134496616127595
560,4.34214708968708e-06
561,0.00688516556019452
562,3.47552007246212e-05
563,0.00118630558615807
564,5.87375076789731e-07
565,3.89296781335296e-05
566,2.76468058787132e-08
567,7.35535375233788e-05
568,0.000152668628507374
569,1.73716606780666e-07
570,2.06507106595317e-06
571,9.50310798916326e-07
572,2.43719358112536e-05
573,0.00052955197276298
574,5.80233160133341e-05
575,1.97082833363989e-07
576,6.73388838400379e-09
577,0.000220353097527926
578,4.06140500367255e-08
579,0.00112964429858895
580,0.000217122957504947
581,2.3985824450913e-06
582,7.69958937910663e-08
583,4.64304052366478e-06
584,0.00243574415844685
585,3.14606617520505e-05
586,2.38272807395195e-07
587,0.00132145193634526
588,2.87545719901166e-05
589,0.00129332965189425
590,4.02747767304563e-08
591,0.00240873327805061
592,1.01732923035982e-05
593,1.5974806188825e-06
594,9.96788062244455e-06
595,6.50557223346173e-06
596,3.11991895656951e-06
597,2.84274069681325e-05
598,2.96259936120425e-05
599,4.65261573103361e-05
600,8.47301053123532e-05
601,3.09291739578854e-08
602,0.00140894381948688
603,0.00262657654264464
604,0.0298201288276935
605,6.16681694783506e-05
606,5.44808912618634e-09
607,0.0125902004704656
608,0.00440718544801608
609,0.000197684552606802
610,1.745109231687e-07
611,0.000711080658003949
612,5.2890370955781e-05
613,0.000662595005026078
614,0.00296608323763226
615,0.00109701115950121
616,0.000178507398859397
617,1.82411851242292e-05
618,2.8847922683533e-05
619,1.79945340698573e-05
620,0.000477409746690091
621,4.56994752129592e-05
622,6.22706002411681e-08
623,0.000433652746967005
624,2.12716119387887e-06
625,1.10656928008069e-05
626,2.93972863285863e-06
627,1.19276579309189e-05
628,0.000421294655987838
629,0.000496834400126602
630,9.42251827062685e-05
631,0.00945955577316273
632,0.0137151795718563
633,0.000842522137391612
634,8.89308061595626e-05
635,1.31529443537082e-07
636,1.18137361780891e-06
637,4.0998810911747e-05
638,8.98803379560043e-05
639,5.38063085469438e-07
640,1.70750758617916e-06
641,0.00977500210728601
642,0.00319296140704134
643,0.004102469940787
644,5.32863153514503e-05
645,0.00608414951931489
646,0.00477949333757303
647,2.29329035390595e-05
648,0.00164523043355455
649,0.00319731962035095
650,1.90987043364938e-05
651,4.14185127666036e-07
652,3.80990056739373e-08
653,1.18626051040816e-07
654,4.00745363965289e-05
655,7.38177638147442e-05
656,2.19477679533174e-06
657,0.000363459712360864
658,0.014776335696644
659,2.11526220133986e-05
660,0.000402733162988909
661,1.89899720936697e-07
662,0.000272589086707836
663,0.000239376780246361
664,1.02150405323673e-05
665,2.05851321703348e-05
666,7.79038255950673e-06
667,0.00252284805466928
668,0.000124177816403033
669,2.16702470521518e-06
670,0.000424248447248136
671,0.00895276611621728
672,0.000291602449504705
673,0.00128341935235288
674,0.00266849561834277
675,1.84824532159417e-05
676,1.15057307303933e-05
677,3.93417015800469e-05
678,0.000204358129935946
679,0.00602110466146848
680,6.26753346200139e-05
681,8.85929547984673e-05
682,0.000118124438957982
683,6.13245660044775e-05
684,0.00174683189410118
685,0.00261730842909358
686,1.2875948293261e-06
687,0.00235978714041654
688,1.08325513195434e-06
689,1.04896575025778e-05
690,4.48688579883777e-05
691,0.00053553813348627
692,4.73220029022233e-05
693,0.000210432394772037
694,0.000479640668918483
695,7.97338815042027e-08
696,0.00194719530312548
697,0.00367783064694202
698,0.00144839721862675
699,0.00322896656209233
700,0.00032811300893681
701,0.000438145847728906
702,2.99547561697016e-07
703,0.000362786592463466
704,1.13049951897623e-06
705,0.000224482425258934
706,0.00208837814658264
707,0.000548467010919836
708,3.09522767479902e-05
709,2.4326594320752e-08
710,1.56759411233352e-06
711,0.00083605350448182
712,0.00018262978549142
713,2.27357636643535e-07
714,0.000304603831078145
715,2.26238489427051e-05
716,2.00511247992684e-05
717,0.00169255768727998
718,2.04004878902014e-07
719,6.91463557656482e-07
720,0.00314390375607529
721,3.91167718171083e-06
722,1.11237735633771e-10
723,5.05255370589253e-05
724,2.92111392049166e-06
725,1.8754793504583e-06
726,8.31988058503123e-05
727,7.06943305545085e-06
728,0.000101596287860129
729,4.12593698097532e-07
730,1.57697292633511e-07
731,3.79683934429194e-06
732,9.77594082660879e-06
733,8.33654652290171e-07
734,0.00159611621159406
735,1.5680663756622e-06
736,1.15635540027303e-05
737,0.0147386883592685
738,0.000166256859174466
739,0.000932836945780475
740,0.0029586153304814
741,5.2500813563714e-07
742,4.17474954996454e-05
743,1.66824748649689e-05
744,5.85724326782001e-05
745,3.3713617690684e-05
746,7.14503637950019e-05
747,0.0121442349001132
748,5.76267048893875e-05
749,0.000116839193777013
750,3.22073414210632e-05
751,3.33220857222332e-08
752,0.00046290864280097
753,0.013474072254937
754,1.16654240435606e-05
755,0.00637085634985924
756,0.00392353442276842
757,0.000310773713075153
758,6.53136590216667e-07
